Total Nameplate Capacity (MW),Retiring Capacity,Average Capacity Factor,Generator Size Weighted Capacity Factor (%),Age,Generator Size Weighted Age,Summed Generator annual net generation (MWh),Percent Capacity Retiring,2022 SO2 Emissions (tons),2021 vs 2022 SO2 Emissions (%),2022 SO2 Emission Rate (lb/mmBtu),2022 NOX Emissions (tons),2022 NOX Emission Rate (lb/mmBtu),2022 CO2 Emissions (tons),2021 vs 2022 CO2 Emissions (%),2022 CO2 Emission Rate (lb/mmBtu),2022 Hg Emissions (lbs),2022 Hg Emission Rate (lb/TBtu),eGRID subregion coal generation percent (resource mix),eGRID subregion gas generation percent (resource mix),eGRID subregion wind generation percent (resource mix),eGRID subregion solar generation percent (resource mix),"Hospital Admits, All Respiratory",Infant Mortality,"Hospital Admits, Cardiovascular (except heart attacks)",$ Work Loss Days,$ Mortality (low estimate),$ Asthma Exacerbation,total population (ACS2018),National percentile for Demographic Index,National percentile for People of Color Population,National percentile for Low Income Population,National percentile for Population with Less Than High School Education,PM 2.5 Emssions (tons),PM 2.5 Emission Rate (lb/MWh),Number of Coal Generators,Total Cost of Emissions Control Equiptment Retrofits Installed since 2012 ($),Plant Coal Percentage (%),2020 Net Cashflow,Average Cashflow,Forward Costs,State coal generation percent (resource mix),State gas generation percent (resource mix),LAT,LON,Estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,Change from 2018 to 2021 in trhe estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,Average PM Results (lb/mmBtu),FIPS,Difference between cheapest renewables and coal ($/MWh),OH_Facility has one or more low-emitting EGUs (LEE) units that do not report hourly emissions_Yes,OH_Mapped Fuel Type_Coal,OH_Mapped Fuel Type_Gas,OH_Mapped Fuel Type_Oil,OH_Coal Debt Securitization Policy_Introduced,OH_Coal Debt Securitization Policy_None,OH_Coal Debt Securitization Policy_Passed,OH_Governor Party_Democrat,OH_Governor Party_Republican,OH_Legislation Majority Party_Democrat,OH_Legislation Majority Party_Divided,OH_Legislation Majority Party_Republican,OH_Cheapest Renewable Resource_local solar,OH_Cheapest Renewable Resource_local wind,OH_Cheapest Renewable Resource_regional solar,OH_Cheapest Renewable Resource_regional wind,OH_Ownership Type_Cooperative,OH_Ownership Type_Federal,OH_Ownership Type_G&T,OH_Ownership Type_Investor Owned,OH_Ownership Type_Investor-Owned,OH_Ownership Type_Municipal,OH_Ownership Type_Political Subdivision,OH_Ownership Type_Public Power,OH_Ownership Type_State,OH_Ownership Type_Transmission,imputed_2022 SO2 Emissions (tons),imputed_2021 vs 2022 SO2 Emissions (%),imputed_2022 SO2 Emission Rate (lb/mmBtu),imputed_2022 NOX Emissions (tons),imputed_2022 NOX Emission Rate (lb/mmBtu),imputed_2022 CO2 Emissions (tons),imputed_2021 vs 2022 CO2 Emissions (%),imputed_2022 CO2 Emission Rate (lb/mmBtu),imputed_2022 Hg Emissions (lbs),imputed_2022 Hg Emission Rate (lb/TBtu),"imputed_Hospital Admits, All Respiratory",imputed_Infant Mortality,"imputed_Hospital Admits, Cardiovascular (except heart attacks)",imputed_$ Work Loss Days,imputed_$ Mortality (low estimate),imputed_$ Asthma Exacerbation,imputed_PM 2.5 Emssions (tons),imputed_PM 2.5 Emission Rate (lb/MWh),imputed_2020 Net Cashflow,imputed_Average Cashflow,imputed_Forward Costs,imputed_Average PM Results (lb/mmBtu),imputed_Difference between cheapest renewables and coal ($/MWh)
0.21119209545003353,1.117069136756046,-0.6752881023930616,-0.47311444982732426,0.8136041997379656,0.7677305748165049,-0.08515381616037265,1.3067623128041845,-0.4957532798935963,-1.418563581993005,-0.5761451030910332,-0.5116480045833192,-0.7054694111127047,-0.19941212744706655,-0.111024231781378,-0.5550489867744808,-0.38759689570825445,-0.45746214144258057,-0.6746168689591473,1.279184336095181,-0.998161369846121,0.3683518733254757,-0.46105442397044494,-0.45320173661676094,-0.464794031290867,-0.5208879547418518,-0.4921147774397012,-0.5180025224443835,-0.6029191021178526,0.7389411458757381,1.3737161681782628,-0.6681801148540348,0.6875186404674555,0.2826704369412645,-0.5480841134907939,-0.08915142667738257,-0.4622465802155142,-3.168060273878518,-1.9420355436519539,-1.9060691472283056,-0.007378808645074252,-0.738663706849709,0.46193358354224096,-1.5123264975197401,0.34978053598877595,-0.7438181248538763,0.4639480611812892,0.8939853188686864,-1.9481990828531548,-0.020057530427544032,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,-0.4142434467026541,0.715157592198663,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,1.4304383405634253,-0.2650854018430104,-0.14359163172354764,-1.0204102671974944,-0.3064680275880367,-0.14359163172354764,-0.07124704998790965,1.118033988749895,-0.14359163172354764,-0.3064680275880367,-0.14359163172354764,-0.16095569499491266,-0.14359163172354764,-0.10101525445522107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.08270870568021708,0.7647737457269559,-0.26713660196765054,-0.2702638355701853,0.5101350805096866,0.5405098665748487,-0.20225760035475276,1.3067623128041845,-0.6441910386714964,-1.0089769922861698,-0.7247929683600475,-0.5362826101994653,-0.5125770606233807,-0.49743223589304686,-0.7821931696529144,-3.0348314925966053,-0.5620078170383438,-0.7527149199481412,-0.6746168689591473,1.279184336095181,-0.998161369846121,0.3683518733254757,-0.5794803444674086,-0.5863661211499979,-0.5815084479218724,-0.6247931829512885,-0.5987490144839334,-0.6290880133499063,-0.3671827194358885,0.13930857668149166,0.4054149887574866,-0.15658049095187368,1.006321195063606,-0.4470130282783045,-0.6373070945398809,-0.8915142667738254,1.1589854839691565,-1.2313946077411095,0.27004937934676326,-0.9014477405980064,0.09472253496950064,-0.738663706849709,0.46193358354224096,-1.0769152407684464,0.4836214080869039,-0.10011978015613472,0.3763887788143702,-0.2587328959576905,-1.946927788370173,0.08045590574383317,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,-0.4142434467026541,0.715157592198663,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,1.4304383405634253,-0.2650854018430104,-0.14359163172354764,-1.0204102671974944,-0.3064680275880367,-0.14359163172354764,-0.07124704998790965,1.118033988749895,-0.14359163172354764,-0.3064680275880367,-0.14359163172354764,-0.16095569499491266,-0.14359163172354764,-0.10101525445522107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
-1.1119114279750075,-0.6297593613819576,-0.12604719441318724,-0.12936106668475233,-0.09680315794687157,-0.06541202206956795,-0.9913082385113209,-0.8190665352481968,-0.6465016866319282,-0.0013154119346314146,-0.2208449777780889,-0.9561746102584412,0.5544444611798202,-1.0950149020616462,-0.005595070248081392,0.2574316381326517,-0.6690370907854423,-0.48400369361345613,0.7107527697857685,-1.2654099998469752,1.5879589142983725,-0.3353256834556152,-0.6946251800632204,-0.6777534438688859,-0.6972553572577157,-0.7111334722381211,-0.689718790139969,-0.7136623780106643,-0.3153713166159141,0.03936981514911725,0.21175475287333137,-0.10542052856165755,-0.6939590961158628,-0.7417628552732515,-0.9843487323758564,-0.8915142667738254,-0.3053112512124419,0.39731900349320004,-0.061311259784026365,-0.608067439317379,-0.12109179480663543,0.5260390455079211,-1.2777820476246322,0.4042024409993491,-0.5415976855810432,-0.46809515136991414,0.6317933308942378,-0.6215556783292714,-0.042401523414971054,-0.077496735824599,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,-0.4142434467026541,0.715157592198663,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,-0.6990864070422755,3.7723691800736088,-0.14359163172354764,-1.0204102671974944,-0.3064680275880367,-0.14359163172354764,-0.07124704998790965,-0.8944271909999157,-0.14359163172354764,3.262983117260861,-0.14359163172354764,-0.16095569499491266,-0.14359163172354764,-0.10101525445522107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8497836864264056,-0.6297593613819576,0.24935140782993773,-0.03554381847087162,-1.1589450752458483,-1.7316972158417137,-0.7608129907629875,-0.8190665352481968,-0.2663683165227676,0.09829097644928604,0.45511700668674687,-0.7850963641796311,-0.2674097991607678,-0.8085363560807634,0.4271945363534742,0.25751935616210075,-0.4016216383837993,0.48998934060489535,0.7107527697857685,-1.2654099998469752,1.5879589142983725,-0.3353256834556152,-0.5926282889993616,-0.575051500241945,-0.5980976583730645,-0.6028954290213706,-0.5862110380894295,-0.6012853074547866,-0.32208149829748195,1.0387574304728613,0.550660165670603,1.1735785311937454,0.36871608587130517,-0.6614689830323632,-0.5877990768887121,-0.08915142667738257,-0.495522238552085,0.3943369653936074,-0.008343222539814127,-0.5426138564471263,-0.0851081864863818,0.5260390455079211,-1.2777820476246322,0.3508991249447717,-0.5385121554659118,-0.11883915682552644,0.4916425306839264,-0.23690683795565007,-0.04735957189860051,-0.04512963498351247,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,-0.4142434467026541,0.715157592198663,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,-0.6990864070422755,-0.2650854018430104,-0.14359163172354764,0.9799979793876928,-0.3064680275880367,-0.14359163172354764,-0.07124704998790965,-0.8944271909999157,-0.14359163172354764,3.262983117260861,-0.14359163172354764,-0.16095569499491266,-0.14359163172354764,-0.10101525445522107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8199658920497813,-0.6297593613819576,0.30225993566286175,0.2983794817174546,-0.17267043775394134,-0.14115225815012003,-0.6819247975486696,-0.8190665352481968,-0.5090279841212333,0.0732498307421781,-0.27197199964640145,-0.4850783848967425,0.6730030889294208,-0.7764208217662121,0.07929221646493691,0.25749273142016643,-0.5610807435742022,-0.4045793690591117,0.7773206940360015,-1.335179818106689,1.7933077086787754,-0.7361921389238008,-0.5909287342304197,-0.5611258129704955,-0.5934960992863185,-0.5870694193618021,-0.578806742725769,-0.5830940316329198,-0.6329499152173282,-1.8594666539659965,-1.531187370084066,-2.6122586856822476,-2.8193094600901984,-0.6178301367529613,-0.6016960321323824,-0.8915142667738254,-0.5002581000381887,0.35549073862582187,0.13667522731109494,-0.44907102789250997,-0.19707492468337512,-0.11077004026743538,-1.1978350032419605,-0.16484105601416343,-0.7678737453679899,-0.610920892698253,-0.12686728820828005,-0.5988792544310477,-0.7431390424346007,-0.17205263221395586,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,2.414039396301674,-1.3982932026570878,-0.48733971724044817,1.3673204516101205,-1.3673204516101205,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,1.4304383405634253,-0.2650854018430104,-0.14359163172354764,-1.0204102671974944,3.262983117260861,-0.14359163172354764,-0.07124704998790965,-0.8944271909999157,-0.14359163172354764,-0.3064680275880367,-0.14359163172354764,-0.16095569499491266,-0.14359163172354764,-0.10101525445522107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7256243459073475,-0.005881577434808239,0.5390885840578531,0.2602081734659132,0.7377369199308959,0.4647696304942966,-0.5960014059068367,1.3067623128041845,-0.5254302095557867,0.10930406812619876,-0.5226226013187677,-0.12974523383866501,0.47354482324500974,-0.4810873012919441,0.5311842977635273,-0.24626848693816555,-0.19449830760701176,0.38395191346334223,-0.8967751345601709,0.9849870125416971,-0.6089707554337842,2.2562513125687405,-0.4830306113299573,-0.43057249480065535,-0.4877074357689718,-0.4329522453828832,-0.45782394250066843,-0.4251879231542478,-0.4521050187501565,0.8388799074081126,1.2284709912651464,-0.2077404533420898,-1.4378317235068803,-0.10585104865806247,-0.08134750928936019,-0.08915142667738257,-0.46058807001896374,0.3975374243043261,0.29093250262518167,-0.421323692223373,-0.10899501559297715,-0.9691901917239784,0.7619051112515691,-0.747008324420666,-1.5724137592918384,-0.8477572052557444,-0.15176433654903312,0.12109720433755834,-1.7625900883377958,-0.06367532443564111,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,-0.4142434467026541,0.715157592198663,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,1.4304383405634253,-0.2650854018430104,-0.14359163172354764,-1.0204102671974944,-0.3064680275880367,-0.14359163172354764,-0.07124704998790965,1.118033988749895,-0.14359163172354764,-0.3064680275880367,-0.14359163172354764,-0.16095569499491266,-0.14359163172354764,-0.10101525445522107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6747081014108989,-0.6297593613819576,-0.6034836717626653,-0.5697433828435204,-1.3486132747635227,-1.3529960354389532,0.8309416474468468,-0.8190665352481968,-0.22630486409041495,-0.5920967439739419,-0.5600369053360399,-0.00047055555044536794,-0.8412187154690438,0.9410641156532021,-0.03260186642794698,-0.24624716504939598,0.09107607745672215,-0.3177734143332986,-1.0734057203869503,0.44119496084030657,-0.9649747068986892,1.597609028610611,-0.16530828924721266,-0.14857732755380082,-0.1439827708584937,-0.1740566383666334,-0.17576383267431805,-0.18713701152697904,-0.49610621010469946,1.9881756650304183,1.7610366399465731,1.6340181927056905,1.006321195063606,0.4305027324401127,-0.14220505282809295,1.515574253515503,-0.5066332981925591,0.3794021108938776,-3.301787468418703,-2.7780936837897188,-0.06333000767337338,-0.8755978643298157,-0.26695182282139757,-1.0521418963705713,1.0306980119884264,-0.5947870652925898,-0.06392531206592458,-0.322510338171445,0.843436472326825,-0.06773474934026563,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,2.414039396301674,-1.3982932026570878,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,1.4304383405634253,-0.2650854018430104,-0.14359163172354764,-1.0204102671974944,-0.3064680275880367,-0.14359163172354764,-0.07124704998790965,-0.8944271909999157,-0.14359163172354764,-0.3064680275880367,-0.14359163172354764,-0.16095569499491266,6.96419413859206,-0.10101525445522107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.37282118047573265,0.4170193763701743,0.2921821208375429,0.28831499822563794,-0.2485377175610111,-0.2168924942306721,-0.2440062946837594,1.3067623128041845,0.12283889120249372,-0.10848808791566988,-0.21135534130477973,-0.3950108446745775,-0.946201036726061,0.40466932541886785,-0.17680554030819992,-0.2462544564724991,0.2296259193528453,0.5404238166013704,-1.4563663633103427,2.6491953655884517,-0.998161369846121,1.0588534276764003,-0.086585856546919,-0.2182057639110488,-0.09556021062258124,-0.2279348580325097,-0.17118679174717924,-0.24826639099109407,-0.4919260969260179,-0.7101708963436908,-0.8049614855184837,-0.15658049095187368,-0.05635398692356203,1.9787884350078673,0.8460731966109843,-0.08915142667738257,-0.4719196252347017,0.38687351320364605,-1.0690734342657318,-1.1411022326529445,-0.12166641113875741,-1.2014816455630197,2.245389998685918,-1.7602339261003423,0.8996767548209931,-0.019967752980564583,0.6673205796501435,0.4933684966667322,-1.2483514699716125,-0.1285657842594924,2.196253494422879,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,-0.4142434467026541,0.715157592198663,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,-0.6990864070422755,-0.2650854018430104,6.96419413859206,-1.0204102671974944,3.262983117260861,-0.14359163172354764,-0.07124704998790965,-0.8944271909999157,-0.14359163172354764,-0.3064680275880367,-0.14359163172354764,-0.16095569499491266,-0.14359163172354764,-0.10101525445522107,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9967951890291878,-0.6297593613819576,1.1084851216883655,1.1035381610627852,0.1307986814743377,0.1618086861720883,-0.7809137078598603,-0.8190665352481968,-0.6741374611224284,0.8670340166956613,-0.6788889924115605,-0.5562820601090499,0.887418875236114,-0.8865535296546279,0.20328821779538356,-1.2513702816608423,-0.5271252560540689,-0.038670678043108524,-0.8967751345601709,0.9849870125416971,-0.6089707554337842,2.2562513125687405,-0.7059555451894997,-0.6881977093224732,-0.7084170877604382,-0.7175414291929271,-0.7001294119090633,-0.7202879048277031,-0.621179596529988,0.7389411458757381,0.21175475287333137,1.1224185688035293,0.36871608587130517,0.1773553175892425,0.8759289037912691,-0.8915142667738254,-0.4687607864499423,-2.4841462968753563,1.2777712494257587,-0.9086829259995001,-0.055790677666903175,-0.9691901917239784,0.7619051112515691,-1.3073204800899723,-1.5370446254864247,-0.6030608229365195,0.3884176898104645,-0.2544810664767736,-1.763479994475883,-0.010249840211435945,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,-0.4142434467026541,0.715157592198663,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,1.4304383405634253,-0.2650854018430104,-0.14359163172354764,-1.0204102671974944,3.262983117260861,-0.14359163172354764,-0.07124704998790965,-0.8944271909999157,-0.14359163172354764,-0.3064680275880367,-0.14359163172354764,-0.16095569499491266,-0.14359163172354764,-0.10101525445522107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
-0.5201992953044571,-0.6297593613819576,-1.1640621214210234,-1.1660028663418653,-0.32440499736808087,-0.29263273031122417,-0.7831759976873844,-0.8190665352481968,-0.27418192198226815,0.8921342438013148,-0.1286608785916844,0.552768935864886,-0.08927798845342906,0.9494683466244764,-0.05655528343201309,0.40626456477978334,-1.3095203300549627,-0.8573477332161883,-0.15972694891997363,0.3132288172834302,1.1987105520965542,-0.5947077415506813,-0.7114318883338678,-0.6986419747760603,-0.7134906016253121,-0.7319609582546333,-0.7087395604770889,-0.7358083195763099,-0.3775229994042061,1.2386349535376102,1.1316408733230687,0.9177787192426649,0.5281173631693803,-0.3570891804973211,-0.29038668332140205,-0.8915142667738254,-0.10402275790682146,-2.7754493019668423,0.0037448379516684996,-0.6264678106573244,-0.1294643218840638,-0.9388108733489322,0.6495575615708404,-0.5035703928936921,-0.2778534520243728,0.6829913808418238,-0.41556115211454847,-0.7349377978203906,0.5308251589615729,-0.09350390387518584,-0.4553208464047432,0.1767766952966367,-0.14359163172354764,-0.10101525445522107,-0.4142434467026541,0.715157592198663,-0.48733971724044817,-0.7313574508612274,0.7313574508612274,-0.35355339059327373,-0.14359163172354764,0.3887965929604763,-0.6990864070422755,-0.2650854018430104,-0.14359163172354764,0.9799979793876928,-0.3064680275880367,-0.14359163172354764,-0.07124704998790965,-0.8944271909999157,-0.14359163172354764,-0.3064680275880367,-0.14359163172354764,-0.16095569499491266,6.96419413859206,-0.10101525445522107,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
